,N,Seed,Lambda,Beta,Theta,Relative Error 5%,TLA.Time 5%,IP.Time 5%,Total.TLA.Time 5%,Relative Error 1%,TLA.Time 1%,IP.Time 1%,Total.TLA.Time 1%,Exact.Time,Num.Facilities
0,80,100,1,1,1,0.001900501,2.33,0.22,2.55,0.001900501,5.58,0.24,5.82,58.3,5
1,80,101,1,1,1,0.003677935,2.64,0.5,3.14,0,5.8,0.54,6.34,202.69,5
2,80,102,1,1,1,0,2.74,0.27,3.01,0,6,0.42,6.42,113.41,5
3,80,103,1,1,1,0,2.74,0.24,2.98,0,5.88,0.37,6.25,82.84,5
4,80,104,1,1,1,0,2.77,0.39,3.16,0,6.27,0.58,6.85,92.05,5
5,90,100,1,1,1,0,3.73,0.53,4.26,0,8.29,0.82,9.11,145.21,5
6,90,101,1,1,1,0,3.75,0.44,4.19,0,8.33,0.53,8.86,126.05,5
7,90,102,1,1,1,0,3.73,0.3,4.03,0,8.11,0.65,8.76,66.9,5
8,90,103,1,1,1,0.000370474,3.61,0.45,4.06,0.000370474,8.23,0.48,8.71,222.32,5
9,90,104,1,1,1,0,4.11,0.29,4.4,0,8.48,0.42,8.9,100.35,5
10,100,100,1,1,1,0,4.44,0.32,4.76,0,9.85,0.36,10.21,40.72,5
11,100,101,1,1,1,0,4.32,0.56,4.88,0,10.29,0.42,10.71,66.83,5
12,100,102,1,1,1,0,4.7,0.36,5.06,0,10.55,0.6,11.15,201.05,5
13,100,103,1,1,1,0,4.37,0.3,4.67,0,9.87,0.77,10.64,43.53,5
14,100,104,1,1,1,0,4.65,0.37,5.02,0,10.19,0.4,10.59,134.34,5
15,110,100,1,1,1,0,5.54,0.54,6.08,0,12.74,1,13.74,389.59,5
16,110,101,1,1,1,0,5.5,0.31,5.81,0,12.29,0.37,12.66,54.15,5
17,110,102,1,1,1,0,5.62,0.4,6.02,0,12.62,0.59,13.21,60.73,5
18,110,103,1,1,1,0,5.45,1.23,6.68,0,12.54,0.83,13.37,209.82,5
19,110,104,1,1,1,0,5.38,0.24,5.62,0,12.47,0.36,12.83,91.58,5
20,120,100,1,1,1,0,6.75,0.81,7.56,0.015740087,15.52,0.56,16.08,132.61,5
21,120,101,1,1,1,0,6.79,0.49,7.28,0,15.3,0.7,16,346.25,5
22,120,102,1,1,1,0,6.97,0.61,7.58,0,15.27,1.07,16.34,168.39,5
23,120,103,1,1,1,0,7.03,0.45,7.48,0,15.32,0.61,15.93,467,5
24,120,104,1,1,1,0,6.97,0.52,7.49,0,15.5,0.64,16.14,109.21,5
25,130,100,1,1,1,0,7.73,0.78,8.51,0,17.74,1.39,19.13,202.31,5
26,130,101,1,1,1,0,8.08,0.51,8.59,0,17.74,0.63,18.37,84.25,5
27,130,102,1,1,1,0,7.76,0.72,8.48,0,17.58,1.24,18.82,162.27,5
28,130,103,1,1,1,0,7.79,0.56,8.35,0,17.54,0.82,18.36,132.79,5
29,130,104,1,1,1,0,7.88,0.65,8.53,0,17.77,0.85,18.62,283.18,5
30,140,100,1,1,1,0,9.28,1.4,10.68,0,21.04,1.88,22.92,568.11,5
31,140,101,1,1,1,0,9.3,0.43,9.73,0,21.09,0.7,21.79,364.59,5
32,140,102,1,1,1,0,9.02,0.72,9.74,0,20.36,0.78,21.14,162.55,5
33,140,103,1,1,1,0.002040017,9.44,0.48,9.92,0.002040017,20.56,0.87,21.43,170.23,5
34,140,104,1,1,1,0,9.34,0.73,10.07,0,21.67,0.95,22.62,124.36,5
35,160,100,1,1,1,0,12.42,1.5,13.92,0,27.72,1.9,29.62,458.38,5
36,160,101,1,1,1,0,12.37,0.75,13.12,0,27.03,0.83,27.86,111.22,5
37,160,102,1,1,1,0,12.7,0.53,13.23,0,27.81,0.71,28.52,210.7,5
38,160,103,1,1,1,0,12.32,0.56,12.88,0,27.91,0.76,28.67,326.37,5
39,160,104,1,1,1,0,12.43,0.72,13.15,0,26.91,0.82,27.73,223.69,5
40,180,100,1,1,1,0,16.13,0.75,16.88,0,36.35,1.05,37.4,164.3,5
41,180,101,1,1,1,0.000906962,16.35,1.48,17.83,0,36.2,1.88,38.08,342.33,5
42,180,102,1,1,1,0,16.59,0.98,17.57,0,36.84,1.64,38.48,184.15,5
43,180,103,1,1,1,0,16.08,0.94,17.02,0,36.04,1.02,37.06,125.99,5
44,180,104,1,1,1,0.004468337,15.88,0.77,16.65,0,35.74,0.96,36.7,142.94,5
45,200,100,1,1,1,0,19.29,1.68,20.97,0,44.06,2.06,46.12,299.31,5
46,200,101,1,1,1,0,20.03,0.99,21.02,0,44.7,1.19,45.89,156.03,5
47,200,102,1,1,1,0,20.06,1.21,21.27,0,45.16,2.04,47.2,169.81,5
48,200,103,1,1,1,0,20.07,1.06,21.13,0,44.97,1.85,46.82,244.39,5
49,200,104,1,1,1,0,19.6,1.06,20.66,0,44.26,2.28,46.54,296.63,5
50,250,100,1,1,1,0,31.53,1.6,33.13,0,69.64,2.78,72.42,284.85,5
51,250,101,1,1,1,0,31.14,0.77,31.91,0,70.17,0.91,71.08,101.65,5
52,250,102,1,1,1,0,31.45,0.9,32.35,0,70.91,0.96,71.87,211.92,5
53,250,103,1,1,1,0,31.18,1.97,33.15,0,69.65,3.15,72.8,356.96,5
54,250,104,1,1,1,0,31.29,1.87,33.16,0,70.43,2.63,73.06,208.4,5
55,300,100,1,1,1,0,46.06,2.3,48.36,0,105.21,3.6,108.81,440.01,5
56,300,101,1,1,1,0,46.3,0.87,47.17,0,103.08,1.26,104.34,145.66,5
57,300,102,1,1,1,0,45.55,1.16,46.71,0,102.38,1.35,103.73,114.93,5
58,300,103,1,1,1,0,44.72,1.79,46.51,0,100.51,3.61,104.12,134.1,5
59,300,104,1,1,1,0,45.39,1.62,47.01,0,101.86,3.12,104.98,393.32,5
60,350,100,1,1,1,0,61.37,1.75,63.12,0,138.93,2.5,141.43,117.24,5
61,350,101,1,1,1,0.000343969,61.95,1.64,63.59,0,139.2,1.98,141.18,108.04,5
62,350,102,1,1,1,0,62.22,1.22,63.44,0,140.67,1.1,141.77,33.32,5
63,350,103,1,1,1,0,62.89,2.23,65.12,0,140.57,2.85,143.42,316.73,5
64,350,104,1,1,1,0,63.18,3.21,66.39,0,136.81,3.34,140.15,215.06,5
65,400,100,1,1,1,0,82.79,1.27,84.06,0,183.24,1.52,184.76,191.52,5
66,400,101,1,1,1,0,82.76,2.42,85.18,0,186.59,3.75,190.34,229.72,5
67,400,102,1,1,1,0,83.19,1.89,85.08,0,187.85,2.34,190.19,407.41,5
68,400,103,1,1,1,0,79.35,1.43,80.78,0,180.14,1.81,181.95,154.99,5
69,400,104,1,1,1,0,84.53,1.73,86.26,0,188.18,2.71,190.89,243.96,5
